Merchant Transaction Free Text,Merchant Name
APPAREL AERO MOE       DUBAI         AE,APPAREL AERO MOE-713525
AL NASR LEISURELAND    DUBAI         AE,AL NASR LEISUREL-031080
ALLIED ENTERPRISES LLC DUBAI         AE,ALLIED ENTERPRIS-052043
BESIDE GENERAL TRADING DUBAI         AE,BESIDE GENERAL TRADING
BEEF KING RESTAURANT & DUBAI         AE,BEEF KING RESTAURANT & CA
CARREFOUR SILICON OASI DUBAI         AE,CARREFOUR SILICON OASI
CHILI'S - JBR          DUBAI         AE,CHILLIS-JBR
LA ROSA CAFE           DUBAI         AE,LA ROSA CAFE
WFO OTHER MISC PAYABLE,
INFORMA MIDDLE EAST LIMITED,
APRONS & HAMMERS MNGT  DUBAI         ARE,APRONS & HAMMERS MNGT
FUJAIRAH F O AND M COMPANY LIMITED,
CONTINENTAL TYRES      ABU DHABI     AE,CONTINENTAL TYRES-1
GOVT OF SHARJAH FINANCE DEPARTMENT,
FUTTAIM AUTO AND MACHINERY,
ELYSIUM GLOBAL DUBAI LIMITED,
AL RAS HOTEL           DUBAI         AE,AL RAS HOTEL
EVE FERTLITVE CENTER   SHARJAH       AE,EVE FERTLITVE CENTER
GRAND EXCELSIOR HOTEL  DUBAI         AE,DHOW PALACE HOTEL
FIND SALT LLC          DUBAI         AE,FIND SALT LLC
EMIRATES    1762152833 DUBAI         AE,EMIRATES
MARRIOTT HOTEL AL JADD DUBAI         AE,MARRIOTT LOBBY LOUNGE
CARLUCCIOS BR OF FOOD  DUBAI         AE,CARLUCCIOS BR OF-451101
HUAWEI TECH INVESTMENT COMPANY LIMITED,
APPLE CAFE N RESTAURAN DUBAI         AE,APPLE CAFE N RESTAURANT
FORTUNE PARK HOTEL LLC DUBAI         AE,FORTUNE PARK HOTEL LLC
MCDONALDS-ENOC GARDENS DUBAI         AE,MCDONALDS-ENOC GARDENS
T. CHOITHRAM & SONS    DUBAI         AE,T.CHOITHRAM & SONS 2
MCDONALDS-ENOC SPORTS  DUBAI         ARE,MCDONALDS-ENOC SPORTS
AL SAYER RETAIL ESTABL DUBAI         AE,AL SAYER RETAIL -078401
BRANDS FOR LESS LLC    DUBAI         AE,BRANDS FOR LESS -242114
HIGHER COLLEGES OF TECHNOLOGY,
FARHAT AL ASLI RESTAUR DUBAI         AE,FARHAT AL ASLI REST
AL AML PHARMACY        SHARJAH       AE,AL AML PHARMACY
PAUL CAFE              DUBAI         AE,PAUL CAFE-1
CRYO SAVE ARABIA FZ LL DUBAI         AE,CRYO SAVE ARABIA-473401
SPLASH LLC             DUBAI         AE,SPLASH LLC      -132059
RIVOLI PRESTIGE        DUBAI         AE,RIVOLI PRESTIGE
ASTER AL NAHDA MEDICAL DUBAI         AE,ASTER AL NAHDA MEDICAL
STARBUCKS CC 4073      DUBAI         AE,STARBUCKS CC 407-471059
BRANDFOLIO LLC         DUBAI         AE,BRANDFOLIO LLC  -710529
AKZO NOBEL UAE PAINTS LLC,
NTDE - HAAGEN DAZS     DUBAI         AE,NTDE - HAAGEN DA-821010
AL NASEEM PHARMACY     DUBAI         AE,AL NASEEM PHARMACY
BIRYANI POT RESTAURANT DUBAI         AE,BRIYANI POT RESTAURANT
HITECH OVERSEAS LIMITED,
EXCELERATE LNG DEVELOPMENT UAE LLC,
TATA PROJECTS LIMITED,
ASTER PHARMACY 1(BR OF DUBAI         AE,ASTER PHARMACY 1(BR OF
NATIONAL ELECTRONIC,
DAMPA SEAFOOD REST.    DUBAI         AE,DAMPA SEAFOOD REST.
SIXT RENT A CAR-GARGAS DUBAI         AE,SIXT RENT A CAR-GARGASH
SHELL EASTERN TRADING,
INPEX ABK LIMITED,
LABAMBA                DUBAI         AE,LABAMBA         -223599
JENAAN INVESTMENT COMPANY LLC,
COURTYARD BY MARRIOTT  DUBAI         AE,THE BAR-COURTYARD BY M
NAVITAS CONTINENTAL FZCO,
ABSOLUTE BARBEQUES     DUBAI         AE,ABSOLUTE BARBEQUES
OCCIDENTAL OIL ASIA PTE,
GIC PRIVATE LIMITED,
BOISSIERE FINANCE,
MAJAN TRAVELS          DUBAI         AE,MAJAN TRAVELS LLC
LILLYS LLC             DUBAI         AE,LILLYS LLC      -717047
OREGANO PRESTO         DUBAI         AE,OREGANO RESTAURANT 10
PATTERSON PUMP COMPANY,
GLANDER INTERNATIONAL BUNKERING DM C LIWA HEIG JUMEIRAH LAKETOWER,
CONSOLIDATED CONTRACTING,
AL RAFAH PHARMACY      DUBAI         AE,AL RAFAH PHARMACY
NATIONAL CABLES INDUSTRY,
SHUA ALMADINA SPMKT LL DUBAI         AE,SHUA ALMADINA SPMKT LLC
QOSMIO COMPUTERS (LLC) DUBAI         AE,QOSMIO COMPUTERS (LLC)
BP EXPLORATION OPERATING COMPANY LIMITED,
FOOD MARK LLC          DUBAI         AE,FOOD MARK LLC   -243026
DRESSER INTERNATIONAL INC,
ABU DHABI COMPUTER CENTRE,
MAIWAND GENERAL TRADIN DUBAI         AE,MAIWAND GENERAL TRADIN
CUMMINS POWER LLC,
"MOVENPICK HOTEL,BUR DU DUBAI         AE",MOVENPICK HOTEL
KUWAIT FOOD CO AMERICA DUBAI         AE,KUWAIT FOOD CO A-391917
THOMAS THOR ASSOCIATES BV,
JABER GROUP LLC,
PAUL CAFE-KAREEM TRADI DUBAI         AE,PAUL CAFE-KAREEM TRDG.
BECHTEL INTERNATIONAL INC,
KWALITY LIMITED,
NOKIA OYJ PL,
PANTRY CAFE            DUBAI         AE,PANTRY CAFE
TATA CONSULTANCY SERVICES LIMITED,
AFIA INTERNATIONAL COMPANY,
ECONOMAT DES ARMEES,
CARREFOUR MARKET TECOM DUBAI         AE,CARREFOUR MARKET TECOM
FLORA PARK HOTEL APART DUBAI         AE,FLORA PARK HOTEL APART
MH ALSHAYA COMPANY LLC,
TELFISA GLOBAL BV,
SALAMLEK CAFE LLC      DUBAI         AE,SALAMLEK CAFE LLC
THE BUTCHER SHOP & GRI DUBAI         AE,THE BUTCHER SHOP&GRIL
ENI SPA,
LALUZ RESTAURANT       DUBAI         AE,LALUZ RESTAURANT
NAPCO CONSUMER PRODUCTS COMPANY,
BEDOUINN'S BISTRO      DUBAI         AE,BEDOUINN'S BISTRO
MIRAQE GENERAL TRADING DUBAI         AE,MIRAQE GENERAL T-244110
ISMAIL MOHD ISMAIL(DEI DUBAI         AE,ISMAIL MOHD ISMAIL(DEIRA)
CLEVELAND CLINIC FOUNDATION,
AL MANA FASHION LLC-GO DUBAI         AE,AL MANA FASHION LLC-GO SP
ALCATEL LUCENT INTERNATIONA,
OKKU                   DUBAI         AE,OKKU
ADVANCED LAUNDRY LLC,
WINSON OIL TRADING PTE,
LASPINAS BUILDING MATE DUBAI         AE,LASPINAS BLDG MATERIAL
EMIRATES HOTEL         DUBAI         AE,EMIRATES HOTEL
RILAM PROMGMT LLC,
IBM MIDDLE EAST FZ LLC,
SPRET TRADING LLC      DUBAI         AE,MAGIFF-SPRET TRDG LLC
AIRPORT SERVICES CATERING,
WAITROSE - FINE FARE   DUBAI         AE,WAITROSE-FINE FARE
AL FUTTAIM MOTORS CO.4 DUBAI         ARE,AL FUTTAIM MOTORS CO.4
HARPUT RESTAURANT      DUBAI         AE,HARPUT RESTAURANT
SAROJA REST & CAFE     DUBAI         ARE,SAROJA REST & CAFE
ETISALAT-DXB-DEIRA CIT DUBAI         ARE,ETISALAT-DXB-DEIRA CIT
AL ARRAB RESTAURANT    DUBAI         AE,AL ARAB RESTAURANT 5
LS POWER FUND III FEEDER A LLP,
LINK WAY RENT A CAR LL DUBAI         AE,LINK WAY RENT A -141404
SPEED DEAL COMMERCIAL BROKER LLC,
OPERATION FALAFEL-LAST DUBAI         AE,OPERATION FALAFEL-LAST
TAMAS PROJECTS COMPANY LLC,
AMWAJ ROTANA HOTEL & R DUBAI         ARE,AMWAJ ROTANA HOTEL & R
T.CHOITHRAM AND SONS L DUBAI         AE,T. CHOITHRAM & SONS LL
REXAM LIMITED,
ALSTOM TRANSPORT SA,
FOCUS HOME FURNISH LLC DUBAI         AE,FOCUS HOME FURNI-711713
RED CRESCENT SOCIETY,
MEAT N FISH            DUBAI         AE,MEAT N FISH
ARKAN BUILDING,
CARILLION PLC,
ETISALAT-DXB-ARABIAN C DUBAI         AE,ETISALAT-DXB-ARABIAN CTR
INNOVATION OASIS GENER DUBAI         AE,INNOVATION OASIS GENER
IBIS AL BARSHA HOTEL   DUBAI         AE,IBIS HOTELS
KARAMA MEDICAL CENTRE  DUBAI         AE,KARAMA MEDICAL CENTRE
PARS IRANIAN REST.MOE  DUBAI         AE,PARS IRANIAN REST.MOE
EMIRATES    1762301246 DUBAI         AE,EMIRATES
CENTRAL MARKET PHARMAC DUBAI         AE,CENTRAL MARKET PHARMAC
EMIRATES INTEGRATED TELECOM COMPANY,
CHINA NATIONAL AERO TECHNOLOGY,
FAIRMONT HOTEL THE PAL DUBAI         AE,RESERVATION-FAIRMONT
MY SAFEER DEPARTMENT S DUBAI         AE,MY SAFEER DEPARTMENT S
LIPU LIGHTING TRDG FZC DUBAI         AE,LIPU LIGHTING TRDG FZCO
GULF INDIAN HIGH SCHOO DUBAI         AE,GULF INDIAN HIGH SCHOO
VAP HOSPITALITY LLC -  DUBAI         AE,VAP HOSPITALITY -761032
DANAHER MENA FZ LLC,
GRAND HYPER AL KHAIL M DUBAI         AE,GRAND HYPER-AL KHAIL M
WILLIS LIMITED,
INDIAN OIL CORPN LIMITED,
NEUVA RESTAURANT LLC   DUBAI         AE,NEUVA RESTAURANT-470130
TREASURY MASTER ACCOUNT,
GE ENGINE SERVICES LLC,
KOREA LINE CORPORATION,
SERCO AUSTRALIA PTY,
MIRZAM                 DUBAI         AE,MIRZAM
APPAREL NINE DM        DUBAI         AE,APPAREL NINE DM -470523
ALZMRDAH ALZERQAA GENERAL TRADING LLC,
SHARIKET KAHRABA HADJRET EN NOUSS,
BIKERS CAFE            DUBAI         AE,BIKERS CAFE
AL CANARY PHARMACY     SHARJAH       AE,AL CANARY PHARMACY
DIESEL                 DUBAI         AE,DIESEL
SUTHERLAND GLOBAL SERVICES DMCC,
WATCHES MARKET LLC     DUBAI         AE,WATCHES MARKET LLC
PTT PUBLIC COMPANY LIMITED,
AIP TRADING FZE,
GS CALTEX CORPORATION,
THALES SA,
PROFESSIONAL LEAGUE COMMITTEE,
NUTRITION CENTRE       DUBAI         AE,NUTRITION CENTRE
YELLOW CHILLI          DUBAI         AE,YELLOW CHILI
SSD INTERBRANCH,
EQUINIX MIDDLE EAST FZ LLC,
PROTECTION AUTHORITY CRITICAL IN FRASTRUCTURE COASTAL,
SPEC DIABETES TREAT RESEARCH CENTR E,
AL HAKAWATI CAFE       Dubai         AE,AL HAKAWATI CAFE
SUGAR DADDYS BAKERY 9  DUBAI         AE,SUGAR DADDYS BAKERY 9
JAM CONSOLIDATED INVESTMENT LLC,
ETISALAT LANKA PRIVATE LIMITED,
PADHIPA GARMENTS TR    DUBAI         AE,PADHIPA GARMENTS TR
LUCKY SUPERMARKET      DUBAI         AE,LUCKY SUPERMARKET
SURYA ENERGY FZE,
NASSIMA ROYAL HOTEL    DUBAI         ARE,NASSIMA ROYAL HOTEL
CARS                   DUBAI         AE,CARS            -023101
HI PHONE TELECOM       DUBAI         AE,HI PHONE TELECOM-3
CARREFOUR FESTIVAL CIT DUBAI         AE,CARREFOUR FESTIVAL CIT
AL ADIL TRADING LLC BR DUBAI         AE,AL ADIL TRADING -136301
AJMAL PERFUME CENTRE L DUBAI         AE,AJMAL PERFUME CE-044850
RED RUBY SALON         ABU DHABI     AE,RED RUBY SALON
DR BATRAS HOMEOPATHIC  DUBAI         AE,DR BATRAS HOMEOPATHIC
JOTUN UAE LIMITED,
BBL ASSET MANAGEMENT COMPANY LIMITED,
TTT MONEYCORP LIMITED,
AMMROC ADVANCED MILITARY,
BP INTERNATIONAL LIMITED,
ICE RINK               DUBAI         AE,ICE RINK
BP SINGAPORE PTE,
ZAHR EL LAYMOUN RESTAU DUBAI         AE,ZAHR EL LAYMOUN -224431
FAHIM GROU,
PANMEAS JEWELLERY LLC  SHARJAH       AE,PANMEAS JEWELLERY-13
SHARAF DG LLC          DUBAI         AE,SHARAF DG LLC   -131167
ITOCHU CORPORATION,
DUKES HOTEL            DUBAI         AE,DUKES HOTEL
ALLIED ENTERPRISES LLC DUBAI         AE,ALLIED ENTERPRIS-132165
ALFUTTAIM MOTORS COMPANY LLC,
WORLD TRADE CENTRE RES DUBAI         AE,WORLD TRADE CENTRE RES
PARTY ZONE-ARAB.RANCHE DUBAI         AE,PARTY ZONE-ARAB.RANCHES
BLOSSOM TREE JLT       DUBAI         AE,BLOSSOM TREE JLT
EMIRATES    1762309207 DUBAI         AE,EMIRATES
MOEVENPICK HOTELS      DUBAI         AE,MOVENPICK HOTEL APARTM
SHOE REPUBLIC TRDG     DUBAI         ARE,SHOE REPUBLIC TRDG
BUTCHA STEAKHOUSE AND  DUBAI         AE,BUTCHA STEAKHOUSE AND
ARABIAN TRAVEL AGENCY  DUBAI         AE,ARABIAN TRAVEL AGENCY
ENOC SITE 1079         DUBAI         AE,ENOC-SITE NO.1079
BATEEL CAFE & RESTAURA DUBAI         AE,BATEEL CAFE & RE-767015
FINE HYGIENIC PAPER FZE,
STARBUCKS - 4082       DUBAI         AE,STARBUCKS - 4082-121022
NILA RESTAURANT LLC    DUBAI         AE,NILA RESTAURANT -492502
LUNETTES               DUBAI         AE,LUNETTES
MCDONALDS-AL GHURAIR   DUBAI         AE,MCDONALDS-AL GHURAIR
VMWARE MIDDLE EAST FZ LLC,
FERROCADIA DMCC,
VICTORY RENT A CAR LLC DUBAI         AE,VICTORY RENT A CAR LLC
ETISALAT-DXB BR        DUBAI         AE,ETISALAT-DXB BR
MODERN BAKERY LLC,
LE MERIDIEN AL AQAH BE FUJAIRAH      AE,ROYAL CL-LE MERIDIEN
NAMMA INTL DIGITEC FZ  DUBAI         AE,NAMMA INTL DIGITEC FZ
IL BORRO TUSCAN BISTRO DUBAI         AE,IL BORRO TUSCAN BISTRO
MARRIOTT               DUBAI         AE,LA FARINE1-JW MARRIOTT
SAMUDRA ENERGY FZC,
AE90053AED1755600010002 RETAIL BANKING OPERATIONS ALHILAL BANK PB NO 63111 ABUDHA,
CAPITOL HOTEL          DUBAI         AE,CAPITOL HOTEL
VAN OORD GULF FZE,
RAPTOR COMPUTERS       DUBAI         AE,RAPTOR COMPUTERS
GRAND EXCELSIOR HOTEL  DUBAI         AE,GRAND EXCELSIOR HOTEL
HUBZERO                DUBAI         AE,HUBZERO
GLOBAL PRIME PARTNERS LIMITED,
SAIPEM SPA,
BAKER AND MORE PASTRIE DUBAI         AE,BAKER AND MORE PASTRIE
NATIONAL HEALTH INSURANCE C,
E CITY GENERAL TRADING DUBAI         AE,E CITY GENERAL T-136561
BOREALIS FINANCIAL SERVICES NV,
DUBAI WORLD TRADE CTR  DUBAI         AE,DUBAI SPORTS WORLD-DUB
KUWAIT AIRWAYS CORPORATION,
GULF FILM LLC          DUBAI         AE,GULF FILM LLC   -171123
OLEANDER FLOWERS-MARCA DUBAI         ARE,OLEANDER FLOWERS-MARCA
TRADING ENT-CJD-UMM RM DUBAI         ARE,TRADING ENT-CJD-UMM RM
FIRST CUP MASAYA REST  DUBAI         AE,FIRST CUP CAFE
ZAATAR W ZEIT          DUBAI         AE,ZATAR W ZEIT 11
DAEWOO E AND C DAEWOO ENC,
JBI PROPERTIES SERVICES,
HAIR CONCEPT LADIES SA DUBAI         AE,HAIR CONCEPT LADIES SA
SCB CENTRAL OPS,
FORTY EIGHTH INVESTMENT COMPANY LLC,
PAPERCHASE-DUBAI MALL  DUBAI         AE,PAPERCHASE-DUBAI-252034
AL TAYER MOTORS LLC    DUBAI         AE,AL TAYER MOTORS -478027
CHOICE TYRES LLC       DUBAI         AE,CHOICE TYRES LLC
BILFINGER SE,
FEDERAL ELECTRICITY AND WATER,
CABRITO MANDI & HANEET DUBAI         AE,CABRITO MANDI & HANEETH
DANIAL RESTAURANT      DUBAI         AE,DANIAL RESTAURANT
KOREA GS E AND P PTE,
REEL DUBAI MARINA MALL DUBAI         AE,REEL DUBAI MARINA MALL
SHERATON HOTELS        DUBAI         AE,FRONT OFFICE 2 SHERAT
CASAL LLC              DUBAI         AE,CASAL LLC
SAFRAN AIRCRAFT ENGINES,
OPTIMAL FITNESS        DUBAI         AE,OPTIMAL FITNESS -761406
MODERN PHARMACEUTICAL COMPANY,
PETROLIAM NASIONAL BERHAD,
FLOOKA                 DUBAI         AE,FLOOKA
TABLEZ RESTAURANT-DXB  DUBAI         ARE,TABLEZ RESTAURANT-DXB
THE BEVERAGE HOUSE LTD DUBAI         AE,THE BEVERAGE HOUSE LTD
SAUDI ARABIAN PARSONS LIMITED,
FONTERRA LIMITED,
H & M -CC3890          DUBAI         AE,H & M -CC3890   -252045
CERNER MIDDLE EAST LIMITED,
CUSTOMS DEPOSIT IMPREST ACCOUNT,
TAQADO RESTAURANTS     DUBAI         ARE,TAQADO RESTAURANTS
BEACH ROTANA HOTEL&TOW ABU DHABI     AE,THE CAFE-BEACH ROTANA
AON UK LIMITED,
CHINA HARBOUR ENGINEERING COMPANY LLC,
SUPER TRIM             DUBAI         AE,SUPER TRIM
BEAUTY PHARMACY        DUBAI         AE,BEAUTY PHARMACY
BAKER AND SPICE REST   DUBAI         AE,BAKER AND SPICE -821031
FIRST CHOICE HOLIDAYS FINANCE,
ENOC SITE 1001         DUBAI         AE,EMIRATES PETROLEUM PRO
CT PLC,
A J C TRADING FZC,
JABER BUILDING,
ADIDAS EMERGING MARKET DUBAI         AE,ADIDAS EMERGING -741402
ROYAL CATERING SERVICES LLC,
WASEL PROPERTIES LLC   DUBAI         AE,WASL PROPERTIES LLC
SANDOOQ AL WATAN,
DUBAI CONCORDE HOTEL   DUBAI         AE,EMIRATES CORCORDE HOTE
OPTIMUM MEDIA DIRECTION FZ LLC,
JULPHAR DRUG STORE,
DHAFRA FOOTBALL SPORTS CLUB COMPANY LLC,
MARSH SAS TOUR ARIANE LA DEFENSE,
FUME NEIGHBORHOOD REST DUBAI         AE,FUME NEIGHBORHOOD REST
CAPITOL HOTEL(RECEPTIO DUBAI         AE,CAPITOL HOTEL(RECEPTION)
MAF GREATER UNION LLC  DUBAI         AE,VOX CINEMAS 1
ARLA FOODS FINANCE,
NATIONAL BONDS CORP MAIN ACCOUNTN B,
AL KHALEEJ PALACE HOTE DUBAI         AE,AL KHALEEJ PALACE HOTEL
DER TOURISTIK FRANKFURT GMBH,
DASSAULT AVIATION,
JUMA AL MAJID ESTJUMA AL MAJID HEA D OFFICE SALAHAL DIN,
THE BOEING COMPANY,
FIRST FOOD SERVICES LL DUBAI         AE,FIRST FOOD SERVI-241176
KARAM BEIRUT LLC       DUBAI         AE,KARAM BEIRUT LLC
ABCOBHBM,
BALLOON ADVENTURES-DUB DUBAI         AE,BALLOON ADVENTURES
ETISALAT BILL PAYMENTS,
LONG SPRING FZE,
SLIM AND TRIM BODY FIT DUBAI         AE,SLIM AND TRIM BODY FIT
PEARL MEDICAL CLINIC   DUBAI         AE,PEARL MEDICAL CLINIC
EMIRATES NUCLEAR ENERGY,
GPS CHEMOIL LLC,
SUSHISHOP              DUBAI         AE,SUSHISHOP
MOHEBI MARTIN BROWER LOGISTICS LLC,
BIN HAFEEZ GENERAL CONTRACTING ESTABLISHMENT,
AL KHAYYAT INVESTMENTS DUBAI         AE,AL KHAYYAT INVES-742072
AL HAKAWATI CAFE LLC   DUBAI         AE,AL HAKAWATI CAFE-565302
ARABIA TAXI TRANSPORTATION LLC,
ADFDAEAA,
ALLIED ENTERPRISE-LACO DUBAI         AE,ALLIED ENTERPRIS-717005
CARRY HOME SUPERMARKET DUBAI         AE,CARRY HOME SUPERMARKET
TOTAL SA,
THE GENERAL AUTHORITY,
MAWAL HTLS & RESTAURAN DUBAI         AE,MAWAL RESTAURANT MANAG
KELVIN CATERING SERVICES EMIRATES LLC,
HUMAN RELATIONS INSTIT DUBAI         AE,HUMAN RELATIONS INS
BAKER AND SPICE BAKERY DUBAI         AE,BAKER AND SPICE -255304
GRAND ABSHAR RESTAURAN DUBAI         AE,GRAND ABSHAR RESTAURAN
HILTON DUBAI CREEK     DUBAI         AE,HILTON DUBAI CRE-220113
HARDEES RESTAURANT     DUBAI         AE,HARDEES RESTAURA-491912
PRICEWATERHOUSECOOPERS,
KOMATSU MIDDLE EAST FZE,
M ETISALAT EZEEPAY,
LULU HYPER MARKET      AJMAN         AE,LULU HYPERMARKET-9
IKEA SUPPLIES LY AG,
EMIRATES    1762199256 DUBAI         AE,EMIRATES
TONY ROMAS             DUBAI         AE,TONY ROMAS
CROWNE PLAZA HOTEL     DUBAI         AE,WAGAMAMA REST 4
ALEXION PHARMA MIDDLE EAST FZ LLC,
TOWERS ROTANA HOTEL    DUBAI         AE,F&B 3(TRH)
GALADARI ICE CREAM CO  DUBAI         AE,GALADARI ICE CRE-051087
DR ARAS DENTAL CLINIC  DUBAI         AE,DR ARAS DENTAL C-175009
REEL DUBAI MALL        DUBAI         AE,REEL DUBAI MALL
OTHER MISC VENDORS OTHERS OTHER MISC VENDORS OTHERS,
THE WESTIN HOTEL       DUBAI         AE,THE WESTIN DUBAI HOTEL
CESARE PACIOTTI (BRANC DUBAI         AE,CESARE PACIOTTI (BRANC
FUKA FZE,
EIA MASTER ACCOUNT,
WELCOME HOTEL APARTMEN DUBAI         AE,WELCOME HOTEL APARTMEN
C ADVANCED SOLUTIONS LLC,
FACE DESIGN MEDICAL CE DUBAI         AE,FACE DESIGN MEDICAL CE
STITCHES TLRNG & TEXT. DUBAI         ARE,STITCHES TLRNG & TEXT.
EMIRATES OF ABU,
AL GARHOOD PRIVATE HOS DUBAI         AE,AL GARHOOD PRIVATE HOSP.
ASTER FLOWER TRADING L DUBAI         AE,ASTER FLOWER TRADING LLC
E CORPORATION,
GOYAL BOOKS INTERNATIO SHARJAH       AE,GOYAL BOOKS INTERNATIO
APPAREL LLC            DUBAI         AE,APPAREL LLC     -220731
GS CALTEX SINGAPORE PTE,
MCDONALDS-AL BARSHA 1  DUBAI         AE,MCDONALDS-AL BARSHA 1
FITNESS UNLIMITED LLC  DUBAI         AE,FITNESS UNLIMITE-059701
TOSHIBA CORPORATION,
FOOD MARK LLC          DUBAI         AE,FOOD MARK LLC   -563003
LEILA RESTAURENT       DUBAI         AE,LEILA RESTAURENT
GLOBAL CURRENCY EXCHANGE NETWORK L ITHE OLD BARN RED HILL,
ATLAS AIR INC,
AWANI RESTAURANT BR OF DUBAI         AE,AWANI RESTAURANT (BR O
LE MERIDIEN JUMEIRA BE DUBAI         AE,CLUB RECEPTION-LRM
SPLASH LLC             DUBAI         AE,SPLASH LLC      -152216
ARABIA BUNKERING COMPANY LLC,
JODCO ONSHORE LIMITED,
KARCHER FZES KARCHER JEBEL AL I FREEZONESOUTH DUBAI,
EMRILL SERVICES LLC    DUBAI         ARE,EMRILL SERVICES LLC
MOMENT PERFUMES LLC    DUBAI         AE,MOMENT PERFUMES LLC
DAMAC HOTELS MANAGEMEN DUBAI         AE,DAMAC HOTELS MANAGEMEN
PAUL BAKERY & RESTAURA DUBAI         AE,PAUL BAKERY & RESTAURA
AL MAA COMPUTERS       DUBAI         AE,AL MAA COMPUTERS
MOL UAE LLC,
ZABEEL SARAY HOTEL     DUBAI         AE,VODABAR - 1
RED MANGO-DUBAI MALL   DUBAI         AE,RED MANGO-DUBAI MALL
DODSAL AND COMPANY,
AXIOM TELECOM LLC,
AL SAFEER RESTAURANT   DUBAI         AE,AL SAFEER RESTAURANT
COMPONENT AEROSPACE SINGAPORE PTE,
SPACEAGE ELECTRICAL SWITCHGEAR COMPANY WLL,
BMG INTERNATIONAL FZC,
IBM MIDDLE EAST AND AFRICA FZ LLC,
COLOR WORKS COMPUTERS  DUBAI         AE,COLOR WORKS COMPUTERS
DREAMLAND AQUA PARK    UMM AL QUWAIN AE,DREAMLAND AQUA PARK
DAMAS JEWELLERY LLC    DUBAI         AE,DAMAS JEWELLRY LLC
KENANA SUGAR COMPANY LIMITED,
EMIRATES SEA RESTAURAN DUBAI         AE,EMIRATES SEA RESTAURANT
EQUITY TRUST JERSEY LIMITED,
IBN SINA 47 PHARMACY B DUBAI         AE,IBN SINA 47 PHAR-245069
MBC FZ LLC,
DIWAN ALMUHANNA REST.  DUBAI         AE,DIWAN ALMUHANNA REST.
PASTAKANA RESTAURANT   DUBAI         AE,PASTAKANA RESTAURANT
EMIRATES    1762151889 DUBAI         AE,EMIRATES
NAKHEELDEVELOP PROJECTDISBURSEM EN NAKHEEL SALES CENTRE AL SUFO UH ST NXT TO PALM JUM EIRAH,
KHALID FARAJ SHIPPING,
AVIS RENT A CAR        DUBAI         AE,AVIS RENT A CAR
URBAN YOGA LLC         DUBAI         AE,URBAN YOGA LLC
UMI FUSION RESTAURANT( DUBAI         AE,UMI FUSION RESTAURANT
ALLIED ENTERPRISES LLC DUBAI         AE,ALLIED ENTERPRIS-761911
MCDONALDS-MIRDIF 2     DUBAI         AE,MCDONALDS-MIRDIF 2
GATE BETTER LIFE PHARM DUBAI         AE,GATE BETTER LIFE PHARMACY
EUTGB2L DEUTSCHE BANK AG LONDON EC2P 2AT UNITED KINGDO,
PRIDE OF KASHMIR       DUBAI         AE,PRIDE OF KASHMIR-1
INNLAY ASIA RESTAURANT DUBAI         AE,INNLAY ASIA RESTAURANT
BARRACUDA REST.        DUBAI         ARE,BARRACUDA REST.
WELSPUN TRADINGS LIMITED,
DELUXE ARABIAN GENTS T ABU DHABI     AE,DELUXE ARABIAN GENTS-2
TOPBONUS LIMITED,
MITSUI AND COMPANY LIMITED,
KIZA RESTAURANT LLC    DUBAI         AE,KIZA RESTAURANT LLC
ROBERTOS CLUB LLC      DUBAI         AE,ROBERTOS CLUB LLC
MCDONALDS-ENOC 6001 AL DUBAI         ARE,MCDONALDS-ENOC 6001 AL
BLU INTELLIGENT SOLUTI DUBAI         AE,BLU INTELLIGENT SOLUTI
BROAD WAY HOTEL        DUBAI         AE,BROAD WAY HOTEL
BAB AL SHAMS DESERT RE DUBAI         AE,BAB AL SHAMS DESERT
MARNIX EUROPE LIMITED,
SEGA REPUBLIC          DUBAI         AE,SEGA REPUBLIC
CONSULATE GENERAL OF P DUBAI         AE,CONSULATE GEN OF PEOPL
J MART SUPERMARKET-AL  DUBAI         AE,J MART SUPERMARKET-AL MUT
DUSIT THANI DUBAI      DUBAI         AE,DUSIT THANI DUBAI
ALFARDAN AUTOMOBILES COMPANY LLC,
GREEN STONE A,
GAZEBO RESTAURANT LLC  DUBAI         AE,GAZEBO RESTAURAN-461044
IBN HAMIDO RESTAURANT  DUBAI         AE,IBN HAMIDO RESTAURANT
FIRAS AL DIYAFA SWEETS DUBAI         AE,FIRAS AL DIYAFA -035055
MADINAT JUMEIRAH - MJ  DUBAI         AE,MADINAT JUMEIRHA 2
ST REGIS HOTEL DUBAI L DUBAI         AE,ST REGIS HOTEL D-470133
AMEC FOSTER WHEELER PLC,
ASTER PHARMACY 6(BR OF DUBAI         AE,ASTER PHARMACY 6(BR OF
HOMES R US             DUBAI         AE,HOMES R US      -150783
EMBASSY OF UNITED ARAB EMIRATES,
AL QAMZI TRADING       DUBAI         AE,AL QAMZI TRADING
NOBLE RESOURCES INTERNATIONAL PTE,
BABY SHOP LLC          DUBAI         AE,BABY SHOP LLC   -487007
MAX ELECTRONICS LLC    DUBAI         AE,MAX ELECTRONICS -033669
CARTEL BOUTIQUE FASHIO DUBAI         ARE,CARTEL BOUTIQUE FASHIO
NEW NAJLA TRADING LLC  DUBAI         AE,NEW NAJLA TRADING LLC
TEMASEK LLC-DOME CAFE  DUBAI         AE,TEMASEK LLC-DOME-031060
